country_code,country_name,state_code,state_name,state_name_local,state_type,sort_order
AUT,Austria,1,Burgenland,,state,1
AUT,Austria,2,Kärnten,,state,2
AUT,Austria,3,Niederösterreich,,state,3
AUT,Austria,4,Oberösterreich,,state,4
AUT,Austria,5,Salzburg,,state,5
AUT,Austria,6,Steiermark,,state,6
AUT,Austria,7,Tirol,,state,7
AUT,Austria,8,Vorarlberg,,state,8
AUT,Austria,9,Wien,,state,9
BEL,Belgium,BRU,Bruxelles-Capitale,,region,1
BEL,Belgium,VLG,Vlaams Gewest,,region,2
BEL,Belgium,WAL,wallonne,,region,3
BGR,Bulgaria,01,Blagoevgrad,,district,1
BGR,Bulgaria,02,Burgas,,district,2
BGR,Bulgaria,08,Dobrich,,district,3
BGR,Bulgaria,07,Gabrovo,,district,4
BGR,Bulgaria,26,Haskovo,,district,5
BGR,Bulgaria,09,Kardzhali,,district,6
BGR,Bulgaria,10,Kyustendil,,district,7
BGR,Bulgaria,11,Lovech,,district,8
BGR,Bulgaria,12,Montana,,district,9
BGR,Bulgaria,13,Pazardzhik,,district,10
BGR,Bulgaria,14,Pernik,,district,11
BGR,Bulgaria,15,Pleven,,district,12
BGR,Bulgaria,16,Plovdiv,,district,13
BGR,Bulgaria,17,Razgrad,,district,14
BGR,Bulgaria,18,Ruse,,district,15
BGR,Bulgaria,27,Shumen,,district,16
BGR,Bulgaria,19,Silistra,,district,17
BGR,Bulgaria,20,Sliven,,district,18
BGR,Bulgaria,21,Smolyan,,district,19
BGR,Bulgaria,22,Sofia,,district,20
BGR,Bulgaria,23,Sofia,,district,21
BGR,Bulgaria,24,Stara Zagora,,district,22
BGR,Bulgaria,25,Targovishte,,district,23
BGR,Bulgaria,03,Varna,,district,24
BGR,Bulgaria,04,Veliko Tarnovo,,district,25
BGR,Bulgaria,05,Vidin,,district,26
BGR,Bulgaria,06,Vratsa,,district,27
BGR,Bulgaria,28,Yambol,,district,28
HRV,Croatia,07,Bjelovarsko-bilogorska županija,,county,1
HRV,Croatia,12,Brodsko-posavska županija,,county,2
HRV,Croatia,19,Dubrovačko-neretvanska županija,,county,3
HRV,Croatia,21,Grad Zagreb,,city,4
HRV,Croatia,18,Istarska županija,,county,5
HRV,Croatia,04,Karlovačka županija,,county,6
HRV,Croatia,06,Koprivničko-križevačka županija,,county,7
HRV,Croatia,02,Krapinsko-zagorska županija,,county,8
HRV,Croatia,09,Ličko-senjska županija,,county,9
HRV,Croatia,20,Međimurska županija,,county,10
HRV,Croatia,14,Osječko-baranjska županija,,county,11
HRV,Croatia,11,Požeško-slavonska županija,,county,12
HRV,Croatia,08,Primorsko-goranska županija,,county,13
HRV,Croatia,03,Sisačko-moslavačka županija,,county,14
HRV,Croatia,17,Splitsko-dalmatinska županija,,county,15
HRV,Croatia,05,Varaždinska županija,,county,16
HRV,Croatia,10,Virovitičko-podravska županija,,county,17
HRV,Croatia,16,Vukovarsko-srijemska županija,,county,18
HRV,Croatia,13,Zadarska županija,,county,19
HRV,Croatia,01,Zagrebačka županija,,county,20
HRV,Croatia,15,Šibensko-kninska županija,,county,21
CYP,Cyprus,04,Ammochostos,,district,1
CYP,Cyprus,06,Keryneia,,district,2
CYP,Cyprus,03,Larnaka,,district,3
CYP,Cyprus,01,Lefkosia,,district,4
CYP,Cyprus,02,Lemesos,,district,5
CYP,Cyprus,05,Pafos,,district,6
CZE,Czechia,64,Jihomoravský kraj,,region,1
CZE,Czechia,31,Jihočeský kraj,,region,2
CZE,Czechia,41,Karlovarský kraj,,region,3
CZE,Czechia,63,Kraj Vysočina,,region,4
CZE,Czechia,52,Královéhradecký kraj,,region,5
CZE,Czechia,51,Liberecký kraj,,region,6
CZE,Czechia,80,Moravskoslezský kraj,,region,7
CZE,Czechia,71,Olomoucký kraj,,region,8
CZE,Czechia,53,Pardubický kraj,,region,9
CZE,Czechia,32,Plzeňský kraj,,region,10
CZE,Czechia,10,Praha,,capital_city,11
CZE,Czechia,20,Středočeský kraj,,region,12
CZE,Czechia,72,Zlínský kraj,,region,13
CZE,Czechia,42,Ústecký kraj,,region,14
DNK,Denmark,84,Hovedstaden,,region,1
DNK,Denmark,82,Midtjylland,,region,2
DNK,Denmark,81,Nordjylland,,region,3
DNK,Denmark,85,Sjælland,,region,4
